IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,gene_ilist_objectif_info,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
214,SUPER 8 Classic,Super8,c0_primus,4,16,1214,1214,35.0,1,petervanpetegem@live.be,"(16,37,10,13,34,6,2,11,33,20,15,14,12,9,1,42,69,25,226,99,87,326,110)",(),brakelhaacht,cont_1hc,1.0,17,0,0,3,0,,168,1,0
216,Il Lombardia Under 23,LomU23,c2u_lombardia,2,19,1216,1216,20.0,1,info@piccologirodilombardia.it,"(210,164,430,214,526,178,160,174,204,221,212,206,166,645,607,395,135,114,647,650,170,207,604,576,378,211)",(),piccololombardia,cont_12,1.0,10,0,204,3,0,,390,1,0
219,Philadelphia Cycling Class p/b AmeriGas,Philadel,c1_philadelphia,6,17,1219,1219,0.0,1,info@philadelphiacyclingclassic.com,"(226,99,5,42,20,25,11,176,217,123,378,233)",(),philadelphia,cont_11,0.0,15,0,0,3,0,,265,1,0
220,Circuito de Getxo - Memorial Hermanos Otxoa,Getxo,c1_getxo,8,17,1220,1220,15.0,1,puntagalea@puntagalea.com,"(1,34,100,16,11,25,228,35,70,102,92,22,378,431,216)",(),trofeogetxo,cont_11,1.0,10,0,0,3,0,,202,1,0
221,Benin - National Championships ITT,BEN TT,natitt-ben,137,23,1221,1221,1.0,1,organisateurs@benin.com,(),(),champ_benin_itt,default,0.0,13,0,0,2,0,,18488,1,0
222,Senegal - National Championships ITT,SEN TT,natitt-sen,135,23,1222,1222,1.0,1,organisateurs@senegal.com,(),(),champ_senegal_itt,default,0.0,13,0,0,2,0,,0,1,0
223,Mali - National Championships ITT,MLI TT,natitt-mli,136,23,1223,1223,1.0,1,fedecyclisme@gmail.com,(),(),champ_mali_itt,default,0.0,13,0,0,2,0,,6372,1,0
224,Kosovo - National Championships ITT,KOS TT,natitt-kos,132,23,1224,1224,1.0,1,kosovacf@yahoo.com,(),(),champ_kosovo_itt,default,0.0,13,0,0,2,0,,6374,1,0
225,Montenegro - National Championships ITT,MNE TT,natitt-mne,131,23,1225,1225,1.0,1,organisateurs@montenegro.com,(),(),champ_montenegro_itt,default,0.0,13,0,0,2,0,,12992,1,0
226,Honduras - National Championships ITT,HND TT,natitt-hnd,134,23,1226,1226,1.0,1,freddydiaz@probikeshn.com,(),(),champ_honduras_itt,default,0.0,13,0,0,2,0,,7409,1,0
227,Iraq - National Championships ITT,IRQ TT,natitt-irq,133,23,1227,1227,1.0,1,organisateurs@iraq.com,(),(),champ_iraq_itt,default,0.0,13,0,0,2,0,,0,1,0
228,Belize - National Championships ITT,BLZ TT,natitt-blz,138,23,1228,1228,1.0,1,becerrajordan7@gmail.com,(),(),champ_belize_itt,default,0.0,13,0,0,2,0,,2549,1,0
229,Grenada - National Championships ITT,GRD TT,natitt-grd,139,23,1229,1229,2.0,1,grenadacyclingfederation@gmail.com,(),(),champ_grenada_itt,default,0.0,13,0,0,2,0,,13587,1,0
236,Circuit de Wallonie,CirWal,c1_circwall,4,17,1236,1236,24.0,1,francesco.lapaglia66@gmail.com,"(34,37,14,9,25,87,22,42,99,135,110,123,223,153,450,210,234,434,395)",(),circuitwallonie,cont_11,1.0,15,0,0,2,0,,537,1,0
237,Alpes Isère Tour,AlpIsr,t2_rhalpesisere,3,12,1237,5237,18.0,5,m.baup@cotni.fr,"(206,210,434,202,526,211,166,140,253,164,214,212,590,589,591,652)",(),rhalpesisere,t2_rhalpesisere,1.0,3,0,0,2,0,,315,1,0
238,Metec Olympia's Tour,Olymp,t2_olympiatour,5,12,1238,5238,15.0,5,thijs.rondhuis@courage-events.nl,"(166,434,442,158,206,167,182,140,149,146,233,267,147,150,153,214,240,409,563,554)",(),olympiastour,t2_olympiatour,1.0,8,0,0,3,0,,340,1,0
239,Giro Ciclistico della Città Metropolitana di Reggio Calabria,GiroCalabria,c1_calabria,2,17,1239,1239,8.0,1,info@extragiro.it,"(176,81,102,221,160,395,212,149,337,336,398,335)",(),girocalabria,cont_11,1.0,9,0,0,3,0,,108,1,0
240,Trofeo Tessile & Moda - Valdengo Oropa,TrTessile,c1_oropa,2,17,1240,1240,0.0,1,info@gsemilia.it,"(37,5,16,12,92,35,22,176,102,226,236,99,81,395,221,149,173,398)",(),oropa,cont_11,1.0,14,0,0,3,0,,27048,1,0
242,Boucles de la Mayenne - Crédit Mutuel,Mayenn,t0_mayenne,3,10,1242,4242,23.0,4,pguesne@atmp53.fr,"(12,3,34,5,1,6,20,22,226,25,9,236,92,35,176,87,68,169,59,168)",(),bouclesmayenne,t0_mayenne,1.0,7,0,0,2,0,,343,1,0
243,Flèche Ardennaise,FlèArd,c2_flechearden,4,18,1243,1243,15.0,1,r_col@hotmail.com,"(204,81,70,442,326,178,214,211,166,135,153,267,207,395,212,146,253,172,576,577)",(),flecheardennaise,cont_12,1.0,10,0,0,3,0,,554,1,0
244,Czech Tour,CzechT,t0_czecht,33,10,1244,4244,21.0,4,racemanager@czechtour.com,"(14,10,70,176,123,95,415,178,174,239,40,58,162,251,112,140,369,317)",(),czechtour,t0_czecht,1.0,5,1,0,2,0,,15209,1,0
245,Tour Alsace,Alsace,t2_alsace,3,12,1245,5245,13.0,5,claude.deschaseaux9@orange.fr,"(214,81,206,204,178,210,166,164,526,174,68,230,169,135,173,590,202,207,240,222,87,153,40)",(),routealsace,t2_alsace,1.0,3,0,0,2,0,,230,1,0
248,UCI World Championships ITT,Worlds TT,worlditt,22,21,1248,1248,83.0,1,hello2023@cyclingworldchamps.com,(),(),worldchampionshipitt,default,0.0,13,0,0,2,0,,27,1,0
252,Tour de la Provence,Proven,t1_provence,3,11,1252,3252,25.0,3,patrickjammes@hotmail.fr,"(34,3,6,13,5,11,25,236,42,123,87,169,168,68,59)",(),tourlaprovence,t1_provence,1.0,2,0,0,3,0,,4396,1,0
254,Bredene Koksijde Classic,Brede,c0_bredene,4,16,1254,1254,30.0,1,info@bredenekoksijdeclassic.be,"(10,37,34,16,20,11,15,12,42,9,99,22,226,25,100,69,123,81,87,110,409)",(),handzamegp,cont_1hc,1.0,17,0,0,3,0,,123,1,0
255,Classic Loire Atlantique,LoireA,c2_loireat,3,18,1255,1255,13.0,1,classic.loire-atlantique@orange.fr,"(34,3,6,25,68,169,168,59,92,100,335,161,70)",(),routeloireatlantique,cont_12,0.0,9,0,0,3,0,,124,1,0
260,Tour of Norway,Norwa,t0_norway,35,10,1260,4260,23.0,4,roy@tourofnorway.no,"(2,37,33,15,14,16,42,9,69,236,99,627,150,233,147)",(),tourofnorway,t0_norway,1.0,5,1,3501,3,0,,71,1,0
261,Grand Prix du Morbihan,Morbih,c0_plumelec,3,16,1261,1261,20.0,1,guy.seveno@gmail.com,"(3,6,34,13,12,1,25,236,35,100,70,9,99,22,169,59,68,168)",(),gpmorbihan,cont_1hc,1.0,10,0,0,3,0,,180,1,0
262,Boucles de l'Aulne - Châteaulin,Aulne,c1_aulne,3,17,1262,1262,13.0,1,alain.legouill@yahoo.fr,"(34,6,3,1,13,42,25,236,35,92,70,87,68,59,169,168)",(),gpaulne,cont_11,1.0,9,0,0,2,0,,182,1,0
273,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,Binche,c1_binchetournai,4,17,1273,1273,25.0,1,jeanlucvdb@skynet.be,"(9,16,10,37,6,33,15,34,11,14,153,87,253,42,69,25,236,123,99,59,158,409,68)",(),binchetournaibinche,cont_11,1.0,17,0,0,3,0,,159,1,0
279,Paris - Troyes,Troyes,c2_paristroyes,3,18,1279,1279,13.0,1,florian.morizot@paris-troyes.com,"(210,169,59,214,202,240,147,153,234,253,520,222,590,589,207,591,595,652)",(),paristroyes,cont_12,1.0,9,0,0,2,0,,285,1,0
280,In Flanders Fields - In Ieper/Kattekoers,Kattek,c2u_gwevelgem,4,19,1280,1280,12.0,1,bart.vannieuwenhuyze@telenet.be,"(442,576,204,164,135,230,207,211,202,140,214,159,526,166,577)",(),kattekoers,cont_12,1.0,17,0,0,2,0,,3999,1,0
281,Istrian Spring Tour,Istria,t2_istriantrophy,44,12,1281,4281,7.0,4,ivan.crnjaric@thorax.hr,"(176,81,415,369,224,179,112,135,166,250,173,267,114,159,40,162,410,240,178,239,214,58,170,604,233)",(),istrianspringtrophy,t2_istriantrophy,1.0,4,0,0,2,0,,276,1,0
282,Gran Premio New York City,GPNewY,c2_gpnewyork,6,18,1282,1282,12.0,1,support@gfny.com,"(442,217,198,197,378,185,233,235,215,522,548,649)",(),gpnewyork,cont_12,1.0,9,0,0,3,0,,22007,1,0
283,Volta ao Alentejo,Alent,t2_alentejo,29,12,1283,5283,10.0,5,geral@podi1.com,"(211,100,159,105,233,259,171,232,38,379,365,431,109,299,425,526,607,608,610)",(),gpcostaazul,t2_alentejo,0.0,16,0,2904,2,0,,288,1,0
286,Circuit des Ardennes,Ardenn,t2_tourardennes,3,12,1286,4286,12.0,4,circuitdesardennes@orange.fr,"(42,415,590,230,589,526,58,135,112,166,204,164,147,150,153,214,240,597,591,174,177)",(),circuitardennes,t2_tourardennes,1.0,5,0,0,1,0,,293,1,0
290,France - National Road Championships,FRA RR,nat-fra,3,22,1290,1290,50.0,1,a.fourez@ffc.fr,(),(),champ_france,cont_12,0.0,9,0,0,4,0,,1928,1,0
293,Etoile de Bessèges - Tour du Gard,Bessè,t1_besseges,3,11,1293,5293,30.0,5,etoiledebesseges@orange.fr,"(11,5,34,37,10,6,2,3,33,9,99,25,69,236,70,87,59,68,169,168)",(),besseges,t1_besseges,1.0,4,0,314,2,0,,106,1,0
294,Santos Tour Down Under,DUnder,top_australia,20,3,1294,6294,56.0,6,tourdownunder2@sa.gov.au,"(20,3,12,13,11,34,10,37,6,2,14,1,15,16,5,33,42)",(),down_under,top_australia,1.0,7,1,2001,5,0,,1,1,0
296,Arctic Race of Norway,ARNor,t0_articnorway,35,10,1296,4296,23.0,4,ked@arctic-race.no,"(99,34,12,15,20,22,42,25,69,226,92,236,70,150,627)",(),articracenorway,t0_articnorway,1.0,5,0,3501,4,1,,259,1,0
297,UAE Tour,UAE,top_uaetour,105,5,1297,7297,66.0,7,f.damico@rcssportsandevents.com,"(5,16,33,42,1,11,10,9,3,15,14,20,12,37,13,2,176,226,81)",(),uaetour,top_uae,1.0,4,1,0,5,0,,9800,1,0
298,AlUla Tour,AlUlaT,t0_saudi,109,10,1298,5298,26.0,5,pythouault@aso.fr,"(20,10,16,22,226,15,99,13,12,70,25,35,95,216,363,87,646)",(),sauditour,t0_saudi,1.0,7,1,0,3,0,,868,1,0
302,Grand Prix Cycliste de Marseille La Marseillaise,Marsei,c1_gpmarseille,3,17,1302,1302,15.0,1,pguille@lamarseillaise.fr,"(6,3,34,2,37,25,236,92,35,70,100,9,69,87,176,68,169,59,168,335)",(),gpmarseille,cont_11,1.0,9,0,0,3,0,,97,1,0
304,Vuelta a Andalucía Ruta Ciclista del Sol,Andalu,t0_andalucia,8,10,1304,5304,45.0,5,joaquin@deporinter.es,"(16,3,1,20,2,33,22,25,236,35,70,99,69,100,92,87,173)",(),vueltaandalucia,t0_andalucia,1.0,3,0,801,2,0,,110,1,0
305,Trofeo Laigueglia,Laigue,c0_laigueglia,2,16,1305,1305,29.0,1,segreteria@comune.laigueglia.sv.it,"(34,5,2,20,16,12,35,22,102,25,226,236,81,176,87,398,160,395,95,221,149,173,336)",(),girolaigueglia,cont_1hc,1.0,10,0,203,3,0,,112,1,0
309,Volta Comunitat Valenciana,Valen,t0_valenciana,8,10,1309,5309,48.0,5,dir@vueltacv.com,"(16,13,33,20,1,11,37,2,102,81,100,92,35,70,22,87,123,42,431,233,173)",(),voltavalenciana,t0_valenciana,1.0,4,0,810,2,0,,319,1,0
311,Vuelta a la Región de Murcia “Costa Cálida”,Murcia,t1_murcia,8,11,1311,2311,25.0,2,pacoguzman@vueltamurcia.es,"(3,1,16,12,81,22,226,35,92,70,69,25,100,431,173,233)",(),murcia,cont_21,1.0,5,0,817,1,0,,74,1,0
312,Giro della Romagna,Romagna,c1_romagna,2,17,1312,1312,8.0,1,info@extragiro.it,"(102,95,70,395,12,81,212,176,160,149,22,221,336,398,173,335,35,92)",(),giroromagna,cont_11,1.0,10,0,0,3,0,,163,1,0
314,Danilith Nokere Koerse,Nokere,c0_nokere,4,16,1314,1314,29.0,1,info@nokerekoerse.be,"(10,16,11,37,6,15,13,34,12,9,226,22,236,87,100,69,110)",(),gpvannokere,cont_1hc,1.0,17,0,402,3,0,,122,1,0
316,Cholet Agglo Tour,Cholet,c1_cholet,3,17,1316,1316,12.0,1,choletpaysdelaloire@choletevenements.fr,"(3,34,6,25,92,70,100,35,123,236,87,81,102,68,59,169,168,161,222)",(),cholet,cont_11,1.0,9,0,0,2,0,,125,1,0
317,Dwars door Vlaanderen - A travers la Flandre,DDV,topclas_dwarsvlaanderen,4,8,1317,1317,68.0,1,info@ddvl.eu,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,9,99,22,42,87,69,226)",(),kortrijkwaregem,top_classiques_autres,1.0,12,0,402,3,0,,75,1,0
318,De Brabantse Pijl - La Flèche Brabançonne,Braban,c0_brabantseprijs,4,16,1318,1318,55.0,1,marc.vettori@rodesportief.be,"(10,37,13,34,5,14,16,9,42,69,87,22,226,236,25,99,35,70,123)",(),brabantseprijs,cont_1hc,1.0,9,0,0,3,0,,77,1,0
319,Ronde Van Brugge - Tour of Bruges,DePanne,topclas_panne,4,9,1319,1319,52.0,1,secretariaat@kvcps.be,"(37,14,10,11,33,16,1,5,6,13,20,15,34,12,42,9,99,69,25,87,226,236)",(),3panne,top_classiques_autres,1.0,15,0,402,3,0,,40,1,0
320,Gran Premio Miguel Indurain,Indura,c0_navarra,8,16,1320,1320,32.0,1,secretaria@clubciclistaestella.es,"(16,34,5,11,1,33,20,15,12,92,35,100,70,102,25,226,105,232,431)",(),gpnavarra,cont_1hc,1.0,10,0,815,3,0,,48,1,0
322,Grand Prix Cerami,Cerami,c2_cerami,4,18,1322,1322,13.0,1,secretariat@lesamyn.be,"(442,211,110,135,153,214,140,622,240,409,164,204,158,253,577)",(),ciremi,cont_12,1.0,9,0,0,2,0,,142,1,0
323,Andorra MoraBanc Clàssica,AndorraClassic,c1_andorra,64,17,1323,1323,18.0,1,info@viusenselimits.com,"(11,5,1,22,25,35,92,70,100,87,102,236,169,105,173,520,431)",(),andorra,cont_11,1.0,14,0,0,3,0,,18948,1,0
324,Paris - Camembert,Camem,c1_parisvimoutiers,3,17,1324,1324,12.0,1,copc61@orange.fr,"(3,100,168,25,6,81,35,34,87,123,99,70,68,59,169,236)",(),parisvimoutiers,cont_11,1.0,9,0,0,2,0,,145,1,0
325,Tour of the Alps,Alps,t0_alps,2,10,1325,5325,55.0,5,totahaus@gmail.com,"(3,20,13,5,2,33,11,15,226,81,42,176,102,95,40)",(),trentino,t0_alps,1.0,18,0,205,3,0,,62,1,0
328,Giro dell'Appennino,Appeni,c1_appennino,2,17,1328,1328,19.0,1,segreteria@uspontedecimo.it,"(16,102,70,81,176,335,160,170,43,149,168,212,398)",(),appenino,cont_11,1.0,10,0,0,3,0,,149,1,0
329,Classique of Mauritius,ClasMau,c2_classiquemaurice,75,18,1329,1329,2.0,1,amcyclisme@intnet.mu,"(222,393,216,205,616,586,273,557,220,530,270)",(),maurice,cont_12,1.0,9,0,0,3,0,,24928,1,0
334,Baloise Belgium Tour,Baloise,t0_belgique,4,10,1334,5334,56.0,5,rob.discart@golazo.com,"(37,10,2,11,15,16,1,9,42,69,87,123,25,226,236,99,327,326,158,140,110)",(),tourbelgique,t0_belgique,1.0,6,1,402,3,0,,60,1,0
335,Skoda Tour de Luxembourg,Luxem,t0_luxembourg,19,10,1335,5335,31.0,5,info@skodatour.lu,"(37,3,5,6,11,10,16,70,69,102,25,226,99,87,171,112,267,147)",(),tourluxembourg,t0_luxembourg,1.0,7,1,0,3,0,,37,1,0
338,Rund um Köln,KolnR,c1_koln,7,17,1338,1338,18.0,1,info@rundumkoeln.de,"(15,33,37,226,42,9,69,25,87,214,267,153,222,369,172,234,220,40)",(),kolnrundfahrt,cont_11,1.0,9,0,0,3,0,,144,1,0
343,Ethias-Tour de Wallonie,TWall,t0_wallonie,4,10,1343,5343,28.0,5,christophe.brandt@trworg.be,"(37,13,34,6,2,11,1,33,20,42,9,69,25,99,81,87,110,327,326)",(),trw,t0_wallonie,1.0,7,0,301,3,0,,193,1,0
344,La Polynormande,Norman,c1_normandie,3,17,1344,1344,13.0,1,polynormande@gmail.com,"(3,6,34,25,236,81,70,102,100,87,68,240,169,59,168,234)",(),normandie,cont_11,1.0,9,0,317,2,0,,203,1,0
348,Coppa Agostoni - Giro delle Brianze,Agost,c1_agostoni,2,17,1348,1348,23.0,1,info@scsmobililissone.com,"(16,37,34,3,6,1,10,12,92,22,176,102,99,81,178,335,160,166,221,149,173,95)",(),agostini,cont_11,1.0,10,0,0,3,0,,262,1,0
359,Tour de Pologne,Pologn,top_pologne,30,3,1359,7359,48.0,7,sekretariat@langteam.com.pl,"(14,37,13,34,3,5,6,2,11,1,33,10,9,20,15,16,12,42,226)",(),tourpologne,top_pologne,1.0,5,1,3001,3,0,,19,1,0
365,Gran Premio città di Peccioli - Coppa Sabatini,Sabat,c0_sabatini,2,16,1365,1365,25.0,1,coppasabatini@gmail.com,"(226,16,34,5,20,1,33,12,92,35,70,100,176,123,102,25,236,99,81,221,149,173,398)",(),trofeosabatini,cont_1hc,1.0,10,0,209,2,0,,160,1,0
374,Spain - National Road Championships,ESP RR,nat-esp,8,22,1374,1374,30.0,1,alejandromartin@rfec.com,(),(),champ_spain,cont_12,0.0,9,0,0,4,0,,1199,1,0
375,Italy - National Road Championships,ITA RR,nat-ita,2,22,1375,1375,41.0,1,strada@federciclismo.it,(),(),champ_italy,cont_12,0.0,9,0,0,4,0,,1922,1,0
376,Belgium - National Road Championships,BEL RR,nat-bel,4,22,1376,1376,48.0,1,info@belgiancycling.be,(),(),champ_belgium,cont_12,0.0,9,0,0,4,0,,1432,1,0
377,Netherlands - National Road Championships,NED RR,nat-ned,5,22,1377,1377,32.0,1,wegsport@knwu.nl,(),(),champ_netherlands,cont_12,0.0,9,0,0,4,0,,1934,1,0
378,Germany - National Road Championships,GER RR,nat-deu,7,22,1378,1378,30.0,1,rik@sauser-event.de,(),(),champ_germany,cont_12,0.0,9,0,0,4,0,,2306,1,0
380,Classic Velox Adélie de Vitré,Vitré,c1_vitre,3,17,1380,1380,13.0,1,alain.ramir@orange.fr,"(34,3,6,25,99,236,35,87,100,123,81,70,68,161,59,169,168)",(),gpvitre,cont_11,1.0,9,0,0,3,0,,134,1,0
381,La Route d'Occitanie - CIC,Occit,t1_occitanie,3,11,1381,3381,28.0,3,pcaubin@laroutedoccitanie.fr,"(5,34,6,3,25,35,92,70,222,100,87,102,236,169,68,59,168,520)",(),tourdusud,t1_occitanie,1.0,3,0,314,3,0,,212,1,0
388,Benin - National Road Championships,BEN RR,nat-ben,137,22,1388,1388,2.0,1,organisateurs@benin.com,(),(),champ_benin,cont_12,0.0,9,0,0,4,0,,18487,1,0
389,Senegal - National Road Championships,SEN RR,nat-sen,135,22,1389,1389,3.0,1,organisateurs@senegal.com,(),(),champ_senegal,cont_12,0.0,9,0,0,4,0,,8096,1,0
390,Mali - National Road Championships,MLI RR,nat-mli,136,22,1390,1390,2.0,1,fedecyclisme@gmail.com,(),(),champ_mali,cont_12,0.0,9,0,0,4,0,,6371,1,0
391,Kosovo - National Road Championships,KOS RR,nat-kos,132,22,1391,1391,2.0,1,kosovacf@yahoo.com,(),(),champ_kosovo,cont_12,0.0,9,0,0,4,0,,6373,1,0
392,Montenegro - National Road Championships,MNE RR,nat-mne,131,22,1392,1392,2.0,1,organisateurs@montenegro.com,(),(),champ_montenegro,cont_12,0.0,9,0,0,4,0,,2622,1,0
393,Honduras - National Road Championships,HND RR,nat-hnd,134,22,1393,1393,3.0,1,freddydiaz@probikeshn.com,(),(),champ_honduras,cont_12,0.0,9,0,0,4,0,,7410,1,0
394,Iraq - National Road Championships,IRQ RR,nat-irq,133,22,1394,1394,2.0,1,organisateurs@iraq.com,(),(),champ_iraq,cont_12,0.0,9,0,0,4,0,,0,1,0
395,Belize - National Road Championships,BLZ RR,nat-blz,138,22,1395,1395,2.0,1,becerrajordan7@gmail.com,(),(),champ_belize,cont_12,0.0,9,0,0,4,0,,2548,1,0
396,Grenada - National Road Championships,GRD RR,nat-grd,139,22,1396,1396,3.0,1,grenadacyclingfederation@gmail.com,(),(),champ_grenada,cont_12,0.0,9,0,0,4,0,,13588,1,0
397,HLC Omloop van de Braakman,Braakman,c2_braakman,5,18,1397,1397,0.0,1,info@omloopvandebraakman.nl,"(110,442,253,158,202,167,140,146,164,409,125,563,554,647)",(),braakman,cont_12,1.0,15,0,0,3,0,,5822,1,0
398,Veenendaal-Veenendaal,Veenen,c1_veenendaal,5,17,1398,1398,0.0,1,hannekebouwmans@gmail.com,"(20,37,9,15,14,87,35,22,236,69,226,99,158,167,211,140,146,409)",(),veenendaal,cont_11,0.0,15,0,0,3,0,,50,1,0
399,Salverda Bouw Ster van Zwolle,Zwolle,c2_stervanzwolle,5,18,1399,1399,0.0,1,info@stervanzwolle.nl,"(409,236,442,158,202,167,166,140,146,153,220,223,267,563,554)",(),stervanzwolle,cont_12,1.0,15,0,0,3,0,,283,1,0
402,Surf Coast Classic,Torqua,c0_torquay,20,16,1402,1402,15.0,1,admin@cadelevansgreatoceanroadrace.com.au,"(33,10,11,2,6,1,20,15,34,12,42,5)",(),torquay,cont_1hc,1.0,15,0,0,3,0,,13182,1,0
403,Memorial Marco Pantani,MemPan,c1_pantaloni,2,17,1403,1403,15.0,1,gsemiliaciclismo@tin.it,"(226,34,5,1,33,16,12,92,35,70,100,22,176,236,102,25,99,81,95,160,395,221,173,336,398)",(),gppantaloni,cont_11,1.0,10,0,0,3,0,,68,1,0
404,Trofeo Matteotti,Matteo,c1_matteotti,2,17,1404,1404,15.0,1,ucifernandoperna@gmail.com,"(35,16,1,33,34,5,12,25,100,236,81,99,92,22,176,102,70,149,221,95,173,398)",(),gpmatteotti,cont_11,1.0,10,0,0,2,0,,205,1,0
405,Grand Prix Cycliste de Québec,Québec,topclas_quebec,22,7,1405,1405,65.0,1,info@gpcqm.ca,"(20,16,14,11,10,2,33,37,6,13,3,5,1,12,15,34,9,42,99,226)",(),gpquebec,top_classiques_autres,1.0,9,0,2201,5,0,,59,1,0
406,Grand Prix Cycliste de Montréal,Montré,topclas_montreal,22,7,1406,1406,64.0,1,info@gpcqm.ca,"(16,20,14,11,10,2,37,6,13,3,5,1,12,15,34,9,42,99,226)",(),gpmontreal,top_classiques_autres,1.0,9,0,2201,5,0,,58,1,0
407,NXT Classic,VoltaL,c1_mergelland,5,17,1407,1407,17.0,1,info@voltalimburgclassic.nl,"(37,14,9,69,236,87,409,238,140,167,158,164,153,110,211,161,202,253)",(),gpmergelland,cont_11,1.0,9,0,506,3,0,,126,1,0
408,Presidential Cycling Tour of Türkiye,Turkey,t0_turkey,71,10,1408,8408,22.0,8,info@bisiklet.gov.tr,"(15,37,12,9,99,35,70,81,92,102,236,100,176,69,87,123,106,216)",(),tourofturkey,t0_turkey,1.0,5,1,0,4,0,,152,1,0
410,Le Tour de Bretagne Cycliste,Bretag,t2_bretagne,3,12,1410,7410,12.0,7,cfossani@tourdebretagne.bzh,"(166,87,230,169,206,202,526,210,135,204,221,173,164,147,153,214,240,597,174)",(),tourbretagne,t2_bretagne,1.0,5,0,305,3,0,,82,1,0
411,Rutland-Melton CiCLE Classic,RutMel,c2_rutland,18,18,1411,1411,10.0,1,cicleclassics@gmail.com,"(146,253,560,149,625,211,223,647)",(),meltonintclassic,cont_12,1.0,15,0,0,3,0,,521,1,0
414,Ringerike GP,Ringer,c2_nor-ringerike,35,18,1414,1414,8.0,1,ael@basm.no,"(99,434,158,161,627,182,180,147,150,624,378,238,162,223,628,599,619,649)",(),ringerike,cont_12,1.0,9,0,0,3,0,,49,1,0
415,Sundvolden GP,Sundv,c2_nor-hadeland,35,18,1415,1415,8.0,1,ael@basm.no,"(99,434,158,161,627,182,180,147,150,624,378,238,162,223,628,599,619,649)",(),hadeland,cont_12,1.0,9,0,0,3,0,,73,1,0
416,Clàssica Comunitat Valenciana - Gran Premi València,GPValen,c1_gpvalencia,8,17,1416,1416,18.0,1,info@cclamarina.org,"(20,16,1,13,12,6,34,35,92,70,100,9,25,102,226,81,166,105,59,431,168)",(),gpvalencia,cont_11,1.0,15,0,0,3,0,,411,1,0
419,Course Cycliste de Solidarnosc et des Champions Olympiques,Solida,t2_solidarnosc,30,12,1419,4419,2.0,4,wyscig@solidarnosc.lodz.pl,"(442,369,615,167,614,106,140,654,172,220,599,409,162,560)",(),solidarnosc,t2_solidarnosc,1.0,4,0,0,1,0,,257,1,0
420,Trofeo Ses Salines,Saline,c1_salines,8,17,1420,1420,21.0,1,info@unisportconsulting.com,"(1,16,33,10,34,5,99,9,226,102,35,92,70,81,100,69,166,431,233,267,220,25)",(),trofeoalcudia,cont_11,1.0,9,0,804,1,0,,102,1,0
421,Trofeo Calvià,Calvia,c1_campos,8,17,1421,1421,24.0,1,info@unisportconsulting.com,"(1,5,12,16,33,70,236,226,173,34,9,99,25,69,100,35,22,431,92,81,105,233)",(),trofeocampos,cont_11,1.0,9,0,804,2,0,,271,1,0
422,Trofeo Andratx - Pollença,Andratx,c1_lloseta,8,17,1422,1422,24.0,1,info@unisportconsulting.com,"(1,16,33,10,34,5,99,9,226,102,35,92,70,81,100,69,166,431,233,267,220,25)",(),trofeoandratx,cont_11,1.0,14,0,804,2,0,,274,1,0
423,Trofeo Serra Tramuntana,Serra Tramuntana,c1_serra,8,17,1423,1423,24.0,1,info@unisportconsulting.com,"(1,16,33,10,34,5,99,9,226,102,35,92,70,81,100,69,166,431,233,267,220,25)",(),trofeotramuntana,cont_11,1.0,14,0,804,2,0,,100,1,0
424,Trofeo Palma,Trofeo Palma,c1_palma,8,17,1424,1424,22.0,1,info@unisportconsulting.com,"(1,16,33,10,34,5,99,9,226,102,35,92,70,81,100,69,166,431,233,267,220,25)",(),trofeopalma,cont_11,1.0,15,0,0,2,0,,83,1,0
425,Grand Prix Antalya,Airpor,c2_airportcity,71,18,1425,1425,3.0,1,info@cyclingracesinturkiye.com,"(96,263,260,244,418,216,512,404,514)",(),airportcity,cont_12,1.0,15,0,0,2,0,,13421,1,0
426,Gran Premio Castellón - Ruta de la Cerámica,Castel,c1_castellon,8,17,1426,1426,18.0,1,ccsepelaco@gmail.com,"(20,16,1,13,12,34,92,35,70,100,226,9,22,102,25,431,105,59,68,590)",(),castellon,cont_11,1.0,10,0,0,3,0,,22183,1,0
427,GP Brda-Collio,Brda-Collio,c2_collio,28,18,1427,1427,4.0,1,cycling@meblojogi.si,"(106,179,250,230,174,81,176,415,369,158,162,336,605,149,172,58,112,410,224,239,170,114)",(),gpcollio,cont_12,1.0,9,0,0,3,0,,22000,1,0
428,Jamaica International Cycling Classic,Jamaica,t2_jamaica,96,12,1428,3428,2.0,3,info@jamaicaicc.com,"(524,557,501,217,215,238,545,252)",(),jamaica,t2_jamaica,1.0,16,1,0,3,0,,22001,1,0
